number;title;category_id;file
1248;Έφυγες απ' τον Πατέρα;3;1248.mp3
1313;Έχω ελπίδα βαθιά στην καρδιά μου;13;1313.mp3
497;Έχω χαρά, χαρά, χαρά, χαρά;15;497.mp3
211;Ζει, ζει ο Χριστός, ο ημών Λυτρωτής;4;211.mp3
498;Ζητάς χαρά στα βουνά τα ψηλά;15;498.mp3
241;Ζήτησε τη Βασιλεία του Θεού;5;241.mp3
1342;Ζούμε στις στερνές ημέρες;12;1342.mp3
378;Ζωήν χάριν εμού;1;378.mp3
499;Η αγάπη Σου, Κύριε, λάμπει;15;499.mp3
697;Η αγάπη του Θεού για μας;10;697.mp3
144;Η αγκαλιά του Λυτρωτή;3;144.mp3
1282;Η γη πικρή σαν ξενιτιά;4;1282.mp3
1171;Η δόξα ανήκει στον Άγιο Θεό;1;1171.mp3
1231;Η δόξα ανήκει στον Χριστό;1;1231.mp3
1316;Η δύση όταν θα 'ρθει της ζωής;13;1316.mp3
926;Η θλίψη αν πέσει σαν πέπλο;3;926.mp3
291;Η νυξ εγγίζει, σκότος πανταχού;7;291.mp3
212;Η πίστις μου εις Σε;4;212.mp3
1224;Η πρόνοιά Σου θαυμαστή;1;1224.mp3
292;Η τρικυμία βοΐζει, τα κύματα μας κυκλούν;7;292.mp3
1047;Η χάρη Σου Θεέ;2;1047.mp3
1240;Η χάρη του Κυρίου Ιησού Χριστού;19;1240.mp3
242;Η Χάρις του Κυρίου Ιησού Χριστού;5;242.mp3
431;Η ψυχή μου ψηλά φτερουγίζει;13;431.mp3
359;Ήκουσαν πτωχοί ποιμένες;9;359.mp3
82;Ήμουν τυφλός, μα τώρα;2;82.mp3
379;Ήτο εις όστις ήλθεν εκ του Ουρανού;10;379.mp3
500;Θα ’θελα να σου πω την αλήθεια καθαρά;15;500.mp3
1304;Θα μας συντροφεύει ο Χριστός;5;1304.mp3
501;Θα Τον δοξολογώ με όλη την καρδιά;15;501.mp3
1223;Θα ψάλλω γλυκά στον πλάστη Θεό;1;1223.mp3
1261;Θαυμάζω και δοξολογώ;2;1261.mp3
293;Θαυμάσιες μέρες, γλυκιάς συντροφιάς;5;293.mp3
432;Θε να ’ρθεί μια αυγή;13;432.mp3
32;Θεέ, τα Χερουβείμ;1;32.mp3
1195;Θεία άγια νυχτιά;9;1195.mp3
145;Θέλεις να γίνεις παιδί του Θεού;;3;145.mp3
146;Θέλω ν’ ακούω για Κείνον;2;146.mp3
1080;Θέλω να Σ’ υμνήσω;5;1080.mp3
380;Θέλω να ψάλλω Λυτρωτά;10;380.mp3
709;Θέλω να ψάλλω πάντα;2;709.mp3
1376;Θέλω την πρώτη μου αγάπη;19;1376.mp3
505;Θέλω, Χριστέ μου, και με να θυμηθείς;15;505.mp3
294;Θεός το φρούριον ημών;5;294.mp3
1176;Θεού αγάπη μ' έχει λυτρώσει;1;1176.mp3
33;Θεού το κράτος. Το σύμπαν γιορτάζει;1;33.mp3
1298;Θερμά, φλογερά, Ιησού Σ' αγαπώ;5;1298.mp3
295;Θριαμβεύουμε μεις;2;295.mp3
1337;Θριαμβευτής ο Λυτρωτής;12;1337.mp3
1333;Θυσίασες για με το αίμα Σου Χριστέ;10;1333.mp3
1182;Ιδέ ο άνθρωπος;10;1182.mp3
297;Ιδού φέρω τον Σταυρόν μου;7;297.mp3
296;Ιδού, ο Χριστός μάς κράζει;5;296.mp3
1072;Ιησού μου, Σωτήρα;1;1072.mp3
1075;Ιησού Σε υψώνουμε;1;1075.mp3
298;Ιησού, οδήγει με;5;298.mp3
507;Ιησού, τη δόξα Σου θα ψάλλουμε;1;507.mp3
737;Κάθε βήμα μου σ’ αυτή τη γη;14;737.mp3
508;Κάθε μέρα απ’ την αυγή;1;508.mp3
1110;Κάθε μου όνειρο, Θεέ;1;1110.mp3
300;Κάθε σου πρόβλημα Αυτός;7;300.mp3
86;Καθώς ειμί ελεεινός;2;86.mp3
34;Καθώς ο ήλιος λαμπρώς;1;34.mp3
244;Καλός ποιμήν με οδηγεί;5;244.mp3
245;Κάμ’ ό,τι θέλεις, είσαι Θεός.;5;245.mp3
87;Κάποια μέρα άκουσα για τον Χριστό;2;87.mp3
459;Κάποια μέρα κει στην Ιεριχώ;14;459.mp3
